frequency_thz,phdos_modes_per_thz
4.17115739,0.8262298112
4.18609582,0.8316106256
4.20103424,0.8379935260
4.21597266,0.8453760115
4.23091108,0.8536682188
4.24584951,0.8626950977
4.26078793,0.8722191269
4.27572635,0.8819521303
4.29066478,0.8915975651
4.30560320,0.9008718806
4.32054162,0.9095307063
4.33548004,0.9174008740
4.35041847,0.9243900207
4.36535689,0.9305040236
4.38029531,0.9358417732
4.39523374,0.9405864238
4.41017216,0.9449935181
4.42511058,0.9493623390
4.44004900,0.9540237517
4.45498743,0.9592856060
4.46992585,0.9654181613
4.48486427,0.9726284387
4.49980270,0.9810376443
4.51474112,0.9906702173
4.52967954,1.0014514763
4.54461796,1.0132181289
4.55955639,1.0257402627
4.57449481,1.0387447276
4.58943323,1.0519530552
4.60437166,1.0651060002
4.61931008,1.0780123453
4.63424850,1.0905380899
4.64918692,1.1026402762
4.66412535,1.1143578232
4.67906377,1.1257833974
4.69400219,1.1370488790
4.70894062,1.1482831870
4.72387904,1.1595793843
4.73881746,1.1709806814
4.75375588,1.1824408982
4.76869431,1.1938320746
4.78363273,1.2049459258
4.79857115,1.2155169664
4.81350958,1.2252567681
4.82844800,1.2338858258
4.84338642,1.2411821635
4.85832484,1.2470086356
4.87326327,1.2513363924
4.88820169,1.2542677256
4.90314011,1.2560153392
4.91807854,1.2569063015
4.93301696,1.2573274787
4.94795538,1.2577108111
4.96289380,1.2584703168
4.97783223,1.2599804176
4.99277065,1.2625494478
5.00770907,1.2663783168
5.02264750,1.2715799953
5.03758592,1.2781731623
5.05252434,1.2861023749
5.06746276,1.2952614278
5.08240119,1.3055135196
5.09733961,1.3167276826
5.11227803,1.3287770008
5.12721646,1.3415624828
5.14215488,1.3550072054
5.15709330,1.3690633724
5.17203172,1.3836949747
5.18697015,1.3988783139
5.20190857,1.4145873000
5.21684699,1.4308096307
5.23178542,1.4475225710
5.24672384,1.4647185271
5.26166226,1.4823882566
5.27660068,1.5005495031
5.29153911,1.5192333150
5.30647753,1.5384862346
5.32141595,1.5583692478
5.33635438,1.5789629163
5.35129280,1.6003501085
5.36623122,1.6226129828
5.38116964,1.6458379302
5.39610807,1.6701082562
5.41104649,1.6954989492
5.42598491,1.7220958025
5.44092334,1.7499653159
5.45586176,1.7791890473
5.47080018,1.8098501472
5.48573860,1.8420328947
5.50067703,1.8758411592
5.51561545,1.9113859519
5.53055387,1.9487808194
5.54549230,1.9881512540
5.56043072,2.0295873240
5.57536914,2.0731557461
5.59030756,2.1188477240
5.60524599,2.1665538247
5.62018441,2.2160132000
5.63512283,2.2667805134
5.65006126,2.3181953481
5.66499968,2.3693607122
5.67993810,2.4191533483
5.69487652,2.4662453787
5.70981495,2.5091640295
5.72475337,2.5463663094
5.73969179,2.5763471799
